ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	Method
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	31	0.935765101983253	2.3039945070216	2.80277499207159e-05	0.00137335974611508	0.00120961868078879	12	tags=6%, list=0%, signal=6%	HEY2/THY1	GSEA
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	180	0.710163094210569	1.89344176507887	0.00148698624225683	0.0364311629352923	0.0320875978592263	2351	tags=32%, list=17%, signal=27%	THY1/TIMP3/BGN/VIM/LGALS1/TPM4/PPIB/TIMP1/CALD1/TAGLN/PLAUR/THBS1/CXCL8/COL6A2/PFN2/MYLK/GEM/GLIPR1/QSOX1/LAMC1/FAS/SPP1/ACTA2/COLGALT1/COL1A1/SLC6A8/ITGAV/FN1/INHBA/VEGFA/CTHRC1/FERMT2/TPM1/SLIT3/ITGB1/ID2/CALU/COL3A1/TNFRSF12A/EDIL3/MYL9/SGCB/COL5A1/PLOD3/THBS2/PCOLCE/TGFBI/SERPINE2/FLNA/COL6A3/RHOB/POSTN/CD59/CAP2/EFEMP2/PMP22/MGP	GSEA
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	195	-0.557684719436126	-1.67208067479214	0.00275897241399197	0.0450632160952021	0.0396904803416388	1525	tags=25%, list=11%, signal=22%	TDRD7/PARP14/IL7/TXNIP/CD274/PSMA3/TNFAIP3/SP110/TAPBP/GCH1/TAP1/MYD88/STAT3/IRF4/ST8SIA4/CASP8/NLRC5/GPR18/TRIM26/TRAFD1/NCOA3/ARID5B/ARL4A/CIITA/ISG20/MX2/PDE4B/MX1/TOR1B/CD69/ITGB7/PTPN1/PSMB8/IFI30/HLA-DRB1/IRF7/IRF5/BANK1/CDKN1A/CD74/PTPN6/HLA-DQA1/HLA-DMA/CD40/IL10RA/MARCHF1/RIPK2/IRF8	GSEA
GO:0002250	adaptive immune response	393	-0.59923291403026	-1.92764299331302	3.80125950945311e-07	0.00215569426781086	0.00202627138482848	1346	tags=20%, list=9%, signal=19%	CD274/TRAF2/LAIR1/TRBC2/KMT5B/GAPT/GPR183/TNFAIP3/PRKD2/UNC93B1/SLAMF1/PIK3CG/MYO1G/ARG2/KDM5D/TAP1/MYD88/LAX1/HLA-DOB/STAT3/MCOLN2/CD48/HLA-DQB2/IRF4/DBNL/HLA-DQB1/CCR6/GNL1/IL27RA/SASH3/CD1C/CYRIB/RNF168/SWAP70/ERAP1/ERAP2/THOC1/HLA-E/TFEB/CD79A/HLA-F/PIK3CD/TNF/INPP5D/FCER2/TNFRSF13B/BTK/LILRB1/HLA-DRA/CTSS/BCL10/ZBTB1/PTPRC/PRKCD/HLA-DMB/HLA-DRB1/NFKBID/CD19/IRF7/HLA-DRB5/HLA-DPA1/HLA-DPB1/BACH2/STAT6/CD74/TCIRG1/PTPN6/HLA-DQA1/STX7/HLA-DMA/CD40/FCGR2B/LAT2/HLA-DOA/SYK/CD79B/BTN3A1/LY9/DUSP10/RIPK2	GSEA GO BP
GO:0060485	mesenchyme development	196	0.800347818032438	2.10428567721447	1.76735688437691e-06	0.00501134044565073	0.00471047119078141	224	tags=6%, list=2%, signal=6%	ACTG2/HEY2/EDNRA/FRZB/S100A4/LAMA5/RTN4/ZFP36L1/STAT1/PEF1/FAM172A	GSEA GO BP
GO:0072132	mesenchyme morphogenesis	37	0.941051708742489	2.2270506892596	6.83230386626759e-06	0.0110156678512294	0.0103543127079835	6	tags=5%, list=0%, signal=5%	ACTG2/HEY2	GSEA GO BP
GO:0042113	B cell activation	220	-0.646154628376441	-1.97160165672101	7.76982391199394e-06	0.0110156678512294	0.0103543127079835	1782	tags=33%, list=13%, signal=29%	CARD11/ADAM17/CD27/PCID2/PPP2R3C/SHLD2/MFNG/MLH1/SLC39A10/TFRC/TNFRSF13C/GPS2/SUPT6H/HMCES/IL7/EP300/TRBC2/KMT5B/GAPT/GPR183/TNFAIP3/HDAC9/AKAP17A/POU2AF1/LAX1/HHEX/ATM/SKAP2/CCR6/IL27RA/CASP8/SASH3/SLC25A5/DCAF1/BAK1/RNF168/SWAP70/THOC1/TPD52/CD79A/BLNK/PIK3CD/TXLNA/INPP5D/TNFRSF13B/BTK/FCRL3/PIK3R1/MZB1/CD22/IKZF3/PTPRC/PRKCD/CD19/STAT6/BANK1/THEMIS2/MS4A1/CDKN1A/CD74/TCIRG1/PTPN6/CD40/FCGR2B/LAT2/SYK/TBC1D10C/LAPTM5/CD79B/BLK/IRF8/FCRL1	GSEA GO BP
GO:0003013	circulatory system process	424	0.673166905564132	1.93395340017762	1.8603696008683e-05	0.0162993761736666	0.0153207994400779	575	tags=5%, list=4%, signal=5%	PLN/GUCY1A1/HEY2/GPR4/EDNRA/FABP5/VEGFB/STAT1/GSTO1/NAMPT/CYB5R3/P2RX4/ASB3/CALM1/SLC2A5/YWHAE/ROCK1/GSN/ATP1B1/CD36/TJP1	GSEA GO BP
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	125	0.82951577417089	2.14096498244861	1.98036279081527e-05	0.0162993761736666	0.0153207994400779	40	tags=4%, list=0%, signal=4%	PLN/NPY1R/GPR4/EDNRA/GNB1	GSEA GO BP
GO:0008015	blood circulation	349	0.695577796383573	1.93889914969489	2.01191382852523e-05	0.0162993761736666	0.0153207994400779	431	tags=5%, list=3%, signal=5%	PLN/GUCY1A1/HEY2/GPR4/EDNRA/VEGFB/STAT1/GSTO1/NAMPT/CYB5R3/P2RX4/ASB3/CALM1/SLC2A5/YWHAE/ROCK1	GSEA GO BP
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	244	-0.601835364739447	-1.87002762919448	2.79001489176299e-05	0.0197777180639849	0.0185903097524839	1835	tags=28%, list=13%, signal=25%	CD55/IL4R/FBXO38/BTN3A3/ADAM17/CD27/SHLD2/MLH1/TFRC/SUPT6H/HMCES/TNFRSF1B/CD274/TRAF2/TRBC2/KMT5B/GAPT/TNFAIP3/SLAMF1/MYO1G/KDM5D/MYD88/HLA-DOB/STAT3/HLA-DQB2/IRF4/HLA-DQB1/CCR6/GNL1/IL27RA/SASH3/CD1C/CYRIB/RNF168/SWAP70/THOC1/HLA-E/HLA-F/TNF/INPP5D/FCER2/BTK/LILRB1/HLA-DRA/BCL10/ZBTB1/PTPRC/PRKCD/HLA-DMB/HLA-DRB1/NFKBID/CD19/IRF7/HLA-DRB5/HLA-DPA1/HLA-DPB1/BACH2/STAT6/CD74/TCIRG1/PTPN6/HLA-DQA1/STX7/HLA-DMA/CD40/FCGR2B/HLA-DOA/LY9/RIPK2	GSEA GO BP
GO:0070661	leukocyte proliferation	251	-0.597193366128859	-1.85348538416785	3.87334585139308e-05	0.024406382581389	0.0229410799900053	1584	tags=24%, list=11%, signal=21%	SLC39A10/TFRC/TNFRSF13C/IL7/TNFRSF1B/TNFSF9/MSN/CD274/RPS3/GAPT/GPR183/TNFAIP3/PRNP/SLAMF1/PIK3CG/ARG2/TMEM131L/MYD88/HHEX/ATM/IL27RA/SASH3/LGALS9/RASAL3/HLA-E/CD79A/CCDC88B/INPP5D/TNFRSF13B/BTK/NCK1/FCRL3/LILRB1/BTN2A2/RAC2/IL2RA/MZB1/CD22/IKZF3/CORO1A/PTPRC/PRKCD/HLA-DMB/HLA-DRB1/CD19/HLA-DPA1/HLA-DPB1/MS4A1/CDKN1A/CD74/TCIRG1/PTPN6/CD40/FCGR2B/SYK/BTN3A1/BLK/RIPK2/DNAJA3	GSEA GO BP
GO:0046651	lymphocyte proliferation	228	-0.60977645429184	-1.87142041234947	4.93764534613953e-05	0.0272066978553542	0.0255732708311936	1584	tags=25%, list=11%, signal=22%	SLC39A10/TFRC/TNFRSF13C/IL7/TNFRSF1B/TNFSF9/MSN/CD274/RPS3/GAPT/GPR183/PRNP/SLAMF1/PIK3CG/ARG2/TMEM131L/MYD88/ATM/IL27RA/SASH3/LGALS9/RASAL3/HLA-E/CD79A/CCDC88B/INPP5D/TNFRSF13B/BTK/NCK1/FCRL3/LILRB1/BTN2A2/RAC2/IL2RA/MZB1/CD22/IKZF3/CORO1A/PTPRC/PRKCD/HLA-DMB/HLA-DRB1/CD19/HLA-DPA1/HLA-DPB1/MS4A1/CDKN1A/CD74/PTPN6/CD40/FCGR2B/SYK/BTN3A1/BLK/RIPK2/DNAJA3	GSEA GO BP
GO:0032943	mononuclear cell proliferation	230	-0.608006133445655	-1.86881821979538	5.36934791897418e-05	0.0272066978553542	0.0255732708311936	1584	tags=24%, list=11%, signal=22%	SLC39A10/TFRC/TNFRSF13C/IL7/TNFRSF1B/TNFSF9/MSN/CD274/RPS3/GAPT/GPR183/PRNP/SLAMF1/PIK3CG/ARG2/TMEM131L/MYD88/ATM/IL27RA/SASH3/LGALS9/RASAL3/HLA-E/CD79A/CCDC88B/INPP5D/TNFRSF13B/BTK/NCK1/FCRL3/LILRB1/BTN2A2/RAC2/IL2RA/MZB1/CD22/IKZF3/CORO1A/PTPRC/PRKCD/HLA-DMB/HLA-DRB1/CD19/HLA-DPA1/HLA-DPB1/MS4A1/CDKN1A/CD74/PTPN6/CD40/FCGR2B/SYK/BTN3A1/BLK/RIPK2/DNAJA3	GSEA GO BP
